X,EFiRAP,Multi-R,Sophon
18,60,57.49999473,78
27,83,63.50000399,92
36,77,76.49999844,95
45,80,71.99999602,102
54,104,95.49999909,125
63,128,97.00836073,130
72,117,110.9999952,132
81,113,111.5193547,142
90,135,122.4999926,147
99,138,118.3738817,155
108,138,131.999996,162
