communication_threshold,completed_request_num
0.0,0
0.045,0
0.09,3
0.135,3
0.18,5
0.225,9
0.27,9
0.315,11
0.36,12
0.405,16
0.45,15
0.495,16
0.54,20
0.585,17
0.63,20
0.675,22
0.72,21
0.765,23
0.81,23
0.855,28
0.9,33
0.9450000000000001,34
0.99,36
1.035,37
1.08,40
1.125,38
1.17,30
1.215,40
1.26,45
1.305,44
1.35,48
1.395,47
1.44,49
1.485,53
1.53,50
1.575,54
1.62,58
1.665,57
1.71,58
1.7550000000000001,63
1.8,57
1.845,65
1.8900000000000001,65
1.935,65
1.98,74
2.025,64
2.07,74
2.115,72
2.16,80
2.205,82
2.25,77
2.295,79
2.34,83
2.3850000000000002,78
2.43,86
2.475,87
2.52,92
2.565,84
2.61,91
2.6550000000000002,95
2.7,92
2.745,90
2.79,97
2.835,93
2.88,104
2.9250000000000003,98
2.97,95
3.015,107
3.06,96
3.105,99
3.15,111
3.1950000000000003,106
3.24,105
3.285,113
3.33,103
3.375,120
3.42,106
3.465,122
3.5100000000000002,122
3.555,128
3.6,114
3.645,130
3.69,133
3.735,126
3.7800000000000002,127
3.825,123
3.87,139
3.915,117
3.96,114
4.005,124
4.05,126
4.095,136
4.14,144
4.1850000000000005,138
4.23,137
4.275,147
4.32,138
4.365,132
4.41,139
4.455,143
