communication_threshold,completed_request_num
0.0,0
0.045,4
0.09,6
0.135,10
0.18,13
0.225,15
0.27,18
0.315,23
0.36,25
0.405,33
0.45,30
0.495,33
0.54,38
0.585,35
0.63,39
0.675,47
0.72,48
0.765,41
0.81,54
0.855,60
0.9,58
0.9450000000000001,63
0.99,61
1.035,65
1.08,71
1.125,74
1.17,86
1.215,69
1.26,74
1.305,80
1.35,93
1.395,98
1.44,93
1.485,95
1.53,92
1.575,99
1.62,98
1.665,106
1.71,108
1.7550000000000001,121
1.8,114
1.845,130
1.8900000000000001,132
1.935,134
1.98,124
2.025,136
2.07,141
2.115,128
2.16,153
2.205,148
2.25,152
2.295,147
2.34,159
2.3850000000000002,163
2.43,158
2.475,167
2.52,120
2.565,167
2.61,178
2.6550000000000002,176
2.7,180
2.745,178
2.79,187
2.835,183
2.88,190
2.9250000000000003,198
2.97,184
3.015,200
3.06,192
3.105,200
3.15,200
3.1950000000000003,200
3.24,189
3.285,200
3.33,200
3.375,200
3.42,200
3.465,200
3.5100000000000002,200
3.555,200
3.6,200
3.645,200
3.69,200
3.735,200
3.7800000000000002,200
3.825,200
3.87,200
3.915,200
3.96,200
4.005,200
4.05,200
4.095,200
4.14,200
4.1850000000000005,200
4.23,200
4.275,200
4.32,200
4.365,200
4.41,200
4.455,200
