EFiRAP,Multi_R,SophonFixed,SophonFlexible
26,11,22,13
29,21,22,18
37,26,23,24
49,31,26,29
66,44,25,35
71,46,31,41
93,64,36,48
110,72,34,53
96,78,38,58
100,84,37,65
129,107,38,67
126,94,40,78
134,103,43,83
170,112,43,88
153,111,44,95
180,145,52,97
177,130,47,104
196,142,46,109
215,160,52,116
221,154,58,125
212,155,60,127
239,175,57,135
269,198,54,140
246,187,62,143
240,209,63,153
249,193,70,159
269,207,67,161
293,230,73,172
310,229,72,180
319,233,78,182
