OBO,All_in,SophonFixed,SophonFlexible
19,11,21,12
40,21,21,26
61,31,28,43
82,40,35,59
106,54,39,73
125,61,43,104
146,71,33,96
166,82,47,112
189,93,46,132
210,101,53,138
