communication_threshold,completed_request_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,3
16,3
17,5
18,8
19,9
20,10
21,14
22,15
23,20
24,22
25,23
26,25
27,29
28,34
29,36
30,39
31,43
32,46
33,46
34,47
35,50
36,56
37,59
38,60
39,65
40,68
41,74
42,81
43,82
44,83
45,85
46,92
47,99
48,101
49,104
50,105
51,108
52,112
53,113
54,117
55,118
56,124
57,128
58,128
59,130
60,133
61,133
62,137
63,137
64,140
65,143
66,144
67,145
68,145
69,145
70,145
71,147
72,150
73,153
74,154
75,159
76,160
77,161
78,162
79,164
80,165
81,168
82,169
83,172
84,174
85,175
86,175
87,178
88,178
89,179
90,180
91,182
92,183
93,184
94,185
95,186
96,188
97,188
98,189
99,189
