OBO,All_in,SophonFixed,SophonFlexible
0.0039980411529541016,0.812000036239624,2.2943930625915527,0.7259659767150879
0.008006095886230469,6.32002592086792,5.0985119342803955,1.6750071048736572
0.012971162796020508,21.34484887123108,11.585737943649292,2.2073371410369873
0.017011165618896484,48.849793910980225,16.681673049926758,3.2567079067230225
0.020998001098632812,93.25393486022949,24.301038026809692,3.7110040187835693
0.024968862533569336,159.49744510650635,36.85671806335449,5.4994728565216064
0.029031038284301758,253.62202095985413,48.983782052993774,7.4991419315338135
0.03299903869628906,367.76380681991577,57.44294214248657,7.860764980316162
0.036968231201171875,515.1818108558655,70.91516399383545,8.539303064346313
0.04299807548522949,705.593339920044,87.42752194404602,8.172971963882446
