communication_threshold,completed_request_num
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,2
12,2
13,4
14,5
15,5
16,6
17,7
18,7
19,8
20,11
21,12
22,15
23,15
24,18
25,21
26,23
27,24
28,27
29,28
30,30
31,32
32,35
33,36
34,38
35,42
36,45
37,48
38,51
39,55
40,59
41,64
42,66
43,68
44,71
45,74
46,78
47,81
48,83
49,87
50,90
51,93
52,98
53,103
54,104
55,106
56,108
57,111
58,114
59,117
60,118
61,121
62,126
63,127
64,128
65,134
66,139
67,142
68,144
69,152
70,153
71,153
72,156
73,158
74,158
75,161
76,165
77,166
78,168
79,171
80,172
81,174
82,175
83,175
84,179
85,180
86,180
87,182
88,182
89,182
90,184
91,188
92,190
93,190
94,191
95,191
96,192
97,193
98,194
99,194
