communication_threshold,completed_request_num
0.0,0
0.045,0
0.09,3
0.135,5
0.18,6
0.225,6
0.27,10
0.315,11
0.36,8
0.405,13
0.45,13
0.495,11
0.54,17
0.585,20
0.63,20
0.675,19
0.72,22
0.765,24
0.81,25
0.855,22
0.9,25
0.9450000000000001,23
0.99,30
1.035,24
1.08,29
1.125,29
1.17,31
1.215,34
1.26,40
1.305,42
1.35,38
1.395,40
1.44,43
1.485,41
1.53,42
1.575,50
1.62,46
1.665,49
1.71,50
1.7550000000000001,50
1.8,61
1.845,58
1.8900000000000001,61
1.935,58
1.98,57
2.025,66
2.07,60
2.115,61
2.16,68
2.205,60
2.25,63
2.295,66
2.34,66
2.3850000000000002,73
2.43,63
2.475,65
2.52,63
2.565,76
2.61,80
2.6550000000000002,84
2.7,78
2.745,73
2.79,56
2.835,86
2.88,81
2.9250000000000003,86
2.97,91
3.015,90
3.06,99
3.105,91
3.15,93
3.1950000000000003,91
3.24,92
3.285,95
3.33,101
3.375,95
3.42,96
3.465,91
3.5100000000000002,99
3.555,100
3.6,100
3.645,100
3.69,118
3.735,104
3.7800000000000002,107
3.825,115
3.87,120
3.915,119
3.96,120
4.005,116
4.05,115
4.095,120
4.14,106
4.1850000000000005,109
4.23,124
4.275,127
4.32,117
4.365,127
4.41,123
4.455,132
