OBO,All_in,SophonFixed,SophonFlexible
61,31,43,14
125,61,50,34
189,93,57,63
250,120,71,75
312,149,70,93
372,178,89,111
435,208,92,144
498,238,87,160
560,268,95,157
628,300,108,207
