OBO,All_in,SophonFixed,SophonFlexible
82,40,45,18
166,82,58,37
250,120,80,62
331,159,84,95
414,197,91,95
498,238,100,150
582,276,99,197
667,317,108,201
747,354,119,239
830,394,120,232
