EFiRAP,Multi_R,SophonFixed,SophonFlexible
11,26,22,13
21,29,22,18
26,37,23,24
31,49,26,29
44,66,25,35
46,71,31,41
64,93,36,48
72,110,34,53
78,96,38,58
84,100,37,65
107,129,38,67
94,126,40,78
103,134,43,83
112,170,43,88
111,153,44,95
145,180,52,97
130,177,47,104
142,196,46,109
160,215,52,116
154,221,58,125
155,212,60,127
175,239,57,135
198,269,54,140
187,246,62,143
209,240,63,153
193,249,70,159
207,269,67,161
230,293,73,172
229,310,72,180
233,319,78,182
