OBO,All_in,SophonFixed,SophonFlexible
0.0009999275207519531,0.013031005859375,1.2098419666290283,0.1749739646911621
0.0019998550415039062,0.0989999771118164,0.3186051845550537,0.23003077507019043
0.0030069351196289062,0.3430061340332031,0.6629998683929443,0.33702993392944336
0.004001140594482422,0.7945249080657959,1.0307071208953857,0.4200708866119385
0.005003929138183594,1.5409979820251465,1.5786309242248535,0.4490330219268799
0.006000041961669922,2.627264976501465,2.284061908721924,0.6995360851287842
0.007966041564941406,4.167267799377441,2.2087631225585938,0.5909988880157471
0.007999897003173828,6.543777227401733,4.092076778411865,0.8773691654205322
0.00999903678894043,8.979944944381714,4.043576002120972,0.8086199760437012
0.009998798370361328,11.864606142044067,5.500278949737549,0.7996690273284912
