episode,episode_rewards,max_obj,suc_datas
0,9,791,102
1,15,730,178
2,8,715,112
3,12,729,138
4,13,740,161
5,9,837,98
6,16,736,191
7,9,784,100
8,11,819,144
9,7,773,78
10,7,717,90
11,7,743,74
12,6,695,66
13,8,692,88
14,6,707,64
15,12,741,148
16,12,768,140
17,9,805,98
18,6,762,63
19,9,727,102
20,4,745,50
21,12,825,136
22,10,761,108
23,14,783,162
24,11,772,129
25,5,661,68
26,17,784,203
27,7,691,78
28,11,790,124
29,16,804,194
30,6,679,66
31,10,768,116
32,7,702,94
33,6,686,69
34,13,833,152
35,6,750,66
36,11,755,122
37,12,730,140
38,12,720,140
39,5,682,68
40,9,763,102
41,7,735,72
42,4,748,44
43,10,672,108
44,5,706,50
45,7,761,76
46,11,722,124
47,7,752,78
48,12,762,138
49,10,782,110
50,10,743,108
51,12,785,138
52,8,705,90
53,8,805,84
54,6,766,72
55,7,804,72
56,4,714,52
57,7,746,74
58,6,734,87
59,8,706,100
60,18,757,216
61,14,764,164
62,9,770,98
63,7,784,74
64,6,776,60
65,13,774,151
66,13,807,150
67,5,704,54
68,10,812,106
69,4,793,48
70,15,718,176
71,10,690,108
72,13,673,158
73,9,775,96
74,17,742,208
75,9,770,96
76,12,763,140
77,6,703,82
78,6,709,84
79,10,719,116
80,9,834,98
81,11,712,128
82,13,740,158
83,7,726,90
84,11,842,118
85,9,785,98
86,13,790,151
87,9,733,104
88,14,783,162
89,11,777,135
90,6,718,68
91,5,758,70
92,11,735,120
93,12,740,142
94,7,774,76
95,9,778,102
96,7,771,85
97,9,744,100
98,10,694,120
99,9,764,102
100,9,782,96
101,10,741,108
102,9,742,98
103,7,704,78
104,11,811,132
105,8,777,88
106,6,831,68
107,11,776,122
108,10,757,117
109,8,728,99
110,15,751,176
111,10,786,112
112,7,732,72
113,8,777,87
114,10,735,112
115,8,732,107
116,5,770,50
117,11,759,128
118,9,752,106
119,10,792,116
120,4,667,63
121,3,672,36
122,6,730,69
123,6,772,70
124,6,705,92
125,6,672,70
126,5,742,52
127,5,711,60
128,8,705,100
129,4,804,48
130,11,765,145
131,7,762,98
132,4,677,48
133,7,686,84
134,13,716,163
135,6,717,91
136,3,702,36
137,6,707,69
138,5,770,61
139,8,738,126
140,8,722,114
141,13,759,158
142,13,763,185
143,4,725,64
144,8,740,100
145,5,687,63
146,11,717,130
147,3,713,36
148,3,705,30
149,7,709,78
150,5,754,50
151,4,599,45
152,6,684,96
153,3,681,36
154,5,651,60
155,9,699,99
156,5,636,60
157,6,733,72
158,15,722,178
159,4,685,48
160,5,717,56
161,5,707,60
162,6,646,66
163,4,621,48
164,5,665,60
165,5,649,60
