episode,episode_rewards,max_obj,suc_datas
353,114,1709,399
354,59,1643,218
355,89,1549,304
356,82,1454,281
357,82,1573,298
358,69,1429,218
359,97,1559,340
360,90,1373,304
361,90,1613,316
362,84,1393,275
363,104,1468,359
364,72,1292,235
365,85,1396,293
366,81,1378,273
367,84,1318,277
368,90,1246,308
369,81,1373,271
370,92,1283,313
371,79,1272,269
372,81,1227,290
373,86,1252,300
374,80,1298,286
375,100,1371,357
376,82,1285,277
377,62,1289,212
378,87,1275,299
379,100,1392,380
380,104,1501,370
381,103,1344,384
382,60,1439,214
383,78,1423,261
384,80,1489,267
385,80,1366,272
386,76,1424,264
387,86,1407,298
388,70,1338,234
389,84,1315,320
390,115,1482,396
391,83,1313,299
392,105,1402,363
393,76,1481,257
394,77,1444,273
395,84,1526,288
396,78,1480,269
397,67,1461,228
398,60,1390,207
399,94,1441,324
400,81,1503,277
401,92,1537,315
402,95,1473,351
403,97,1378,341
404,103,1618,354
405,127,1441,443
406,96,1505,320
407,105,1460,365
408,103,1472,363
409,125,1494,472
410,118,1528,450
411,107,1625,403
412,118,1515,447
413,88,1471,337
414,108,1386,407
415,93,1422,363
416,103,1581,399
417,91,1506,341
418,83,1538,331
419,119,1429,480
420,99,1511,359
421,108,1395,412
422,92,1428,353
423,93,1485,349
424,96,1466,379
425,111,1490,432
426,92,1570,359
427,102,1417,380
428,100,1642,400
429,110,1479,430
430,68,1437,291
431,117,1563,443
432,111,1612,439
433,107,1513,385
434,109,1559,395
435,85,1555,339
436,85,1443,326
437,75,1527,291
438,87,1560,330
439,84,1479,305
440,89,1560,341
441,103,1674,389
442,83,1528,319
443,102,1432,395
444,98,1572,397
445,105,1549,400
446,98,1619,383
447,117,1712,457
448,81,1573,327
449,111,1645,418
450,107,1575,419
451,93,1535,366
452,108,1605,394
453,85,1567,320
454,86,1687,330
455,100,1660,385
456,114,1696,455
457,93,1625,381
458,98,1810,402
459,113,1626,443
460,71,1512,267
461,113,1457,420
462,77,1723,303
463,95,1624,398
464,82,1692,324
465,77,1528,309
466,98,1667,381
467,91,1657,355
468,117,1603,494
469,97,1664,364
470,135,1708,522
471,103,1686,396
472,83,1604,334
473,97,1599,387
474,92,1569,361
475,90,1630,365
476,116,1532,455
477,104,1602,402
478,114,1634,431
479,108,1497,417
480,88,1630,347
481,115,1546,423
482,98,1541,411
483,80,1467,322
484,103,1623,411
485,132,1561,516
486,117,1656,436
487,109,1415,418
488,79,1417,320
489,98,1539,373
490,74,1562,280
491,86,1410,322
492,90,1434,333
493,92,1454,364
494,99,1497,356
495,93,1265,340
496,72,1354,272
497,111,1374,419
498,89,1492,320
499,97,1482,343
500,81,1328,293
501,94,1413,327
502,100,1419,366
503,104,1380,357
504,107,1456,410
505,66,1335,226
506,94,1422,342
507,81,1290,271
508,69,1457,247
509,80,1277,293
510,79,1226,268
511,85,1263,290
512,75,1377,249
513,83,1290,301
514,76,1308,260
515,62,1204,214
516,80,1337,288
517,81,1442,287
518,83,1419,303
519,68,1350,244
520,84,1408,311
521,90,1480,325
522,102,1428,356
