episode,episode_rewards,max_obj,suc_datas
0,0,1440,0
1,1,1559,10
2,3,1586,39
3,2,1696,22
4,5,1631,64
5,4,1459,42
6,5,1547,71
7,2,1513,22
8,3,1599,42
9,3,1553,46
10,1,1558,16
11,3,1613,42
12,2,1554,28
13,1,1614,14
14,2,1659,22
15,7,1468,82
16,4,1627,42
17,5,1633,52
18,3,1528,31
19,1,1587,14
20,2,1555,22
21,2,1654,28
22,3,1467,33
23,5,1550,57
24,1,1574,14
25,1,1600,14
26,2,1510,20
27,3,1583,33
28,3,1533,31
29,4,1587,56
30,3,1631,42
31,0,1616,0
32,0,1551,0
33,1,1580,14
34,5,1595,68
35,5,1570,52
36,0,1688,0
37,3,1617,33
38,0,1651,0
39,1,1456,10
40,2,1461,22
41,4,1634,50
42,7,1579,73
43,4,1589,44
44,3,1656,42
45,2,1583,22
46,3,1481,39
47,7,1470,78
48,3,1372,33
49,0,1559,0
50,2,1622,20
51,2,1576,28
52,3,1582,33
53,0,1625,0
54,2,1561,22
55,0,1551,0
56,1,1505,10
57,2,1636,27
58,2,1737,22
59,5,1640,54
60,0,1465,0
61,3,1730,35
62,3,1560,39
63,1,1717,10
64,3,1539,33
65,3,1636,42
66,0,1519,0
67,6,1565,84
68,6,1758,69
69,1,1709,14
70,6,1488,63
71,3,1451,31
72,4,1499,45
73,1,1538,14
74,2,1653,20
75,1,1597,14
76,5,1562,70
77,3,1518,33
78,2,1691,27
79,2,1581,25
80,2,1485,25
81,1,1479,14
82,1,1601,14
83,4,1643,44
84,1,1382,11
85,3,1529,33
86,3,1499,34
87,3,1582,42
88,3,1662,35
89,6,1516,63
90,2,1493,20
91,0,1609,0
92,0,1679,0
93,2,1638,26
94,0,1543,0
95,0,1582,0
96,0,1545,0
97,0,1484,0
98,0,1455,0
99,0,1637,0
100,1,1627,13
101,0,1540,0
102,1,1692,16
103,0,1576,0
104,0,1546,0
105,0,1520,0
106,1,1578,14
107,0,1475,0
108,0,1498,0
109,1,1593,14
110,0,1570,0
111,0,1481,0
112,1,1584,14
113,1,1506,14
114,0,1552,0
115,0,1503,0
116,1,1502,14
117,3,1557,41
118,1,1539,14
119,3,1516,42
120,0,1689,0
121,2,1610,26
122,1,1508,12
123,0,1663,0
124,0,1509,0
125,3,1521,42
126,0,1453,0
127,1,1510,16
128,0,1519,0
129,1,1669,12
130,1,1592,16
131,0,1702,0
132,1,1524,16
133,0,1539,0
134,0,1592,0
135,0,1514,0
136,0,1516,0
137,6,1435,74
138,0,1645,0
139,0,1426,0
140,1,1516,14
141,0,1460,0
142,2,1457,28
143,1,1494,14
144,0,1421,0
145,2,1522,28
146,1,1434,14
147,0,1507,0
148,0,1441,0
149,0,1508,0
150,0,1378,0
151,0,1569,0
152,1,1518,16
153,2,1540,27
154,2,1503,32
155,2,1554,32
156,2,1568,27
157,0,1513,0
158,0,1406,0
159,2,1504,32
160,2,1568,30
161,1,1340,16
162,0,1399,0
163,3,1441,48
164,3,1449,48
165,1,1388,16
166,0,1332,0
167,0,1341,0
168,2,1526,30
169,1,1425,16
170,1,1399,14
171,3,1439,44
172,0,1422,0
173,0,1516,0
174,2,1381,28
175,1,1315,14
176,4,1337,56
177,0,1366,0
178,0,1461,0
179,0,1579,0
180,0,1363,0
181,2,1503,28
182,1,1366,16
183,0,1414,0
184,0,1412,0
185,2,1463,28
186,0,1299,0
187,0,1493,0
188,1,1453,13
189,0,1396,0
190,2,1482,27
191,2,1486,28
192,3,1386,39
193,0,1482,0
194,1,1411,13
195,0,1487,0
196,1,1421,13
197,2,1501,36
198,0,1491,0
199,0,1431,0
200,0,1391,0
201,0,1353,0
202,0,1165,0
203,3,1314,42
204,3,1258,42
205,3,1384,42
206,4,1257,56
207,2,1391,28
208,0,1406,0
209,0,1516,0
210,3,1479,42
211,1,1512,14
212,0,1544,0
213,0,1439,0
214,0,1448,0
215,1,1514,14
216,0,1573,0
217,1,1578,14
218,5,1389,67
219,0,1409,0
220,3,1467,42
221,2,1475,28
222,0,1413,0
223,1,1412,14
224,2,1303,32
225,2,1484,28
226,1,1327,14
227,0,1455,0
228,0,1421,0
229,2,1276,28
230,4,1523,56
231,2,1388,28
232,0,1389,0
233,2,1410,28
234,1,1498,14
235,2,1477,32
236,1,1491,14
237,3,1376,42
238,2,1495,28
239,2,1537,28
240,4,1491,53
241,2,1494,35
242,1,1389,14
243,1,1575,14
244,2,1517,28
245,2,1444,28
246,0,1406,0
247,2,1360,28
248,1,1398,14
249,4,1431,53
250,3,1471,42
251,1,1389,14
252,4,1486,44
253,3,1303,42
254,0,1396,0
255,1,1551,14
256,6,1335,90
257,4,1426,58
258,5,1384,80
259,2,1559,30
260,0,1476,0
261,3,1527,42
262,6,1409,78
263,4,1309,53
264,3,1398,42
265,2,1424,28
266,0,1413,0
267,3,1426,42
268,3,1331,42
269,4,1428,56
270,3,1324,42
271,4,1450,56
272,1,1475,14
273,6,1442,75
274,2,1455,30
275,4,1540,56
276,2,1405,28
277,6,1353,84
278,3,1516,42
279,4,1446,56
280,3,1357,42
281,4,1365,64
282,4,1527,56
283,2,1361,28
284,4,1484,64
285,3,1523,42
286,5,1498,71
287,4,1489,44
288,7,1468,101
289,6,1347,94
290,6,1401,81
291,4,1387,53
292,4,1350,53
293,2,1338,28
294,2,1214,28
295,8,1440,122
296,6,1279,93
297,4,1364,56
298,6,1261,78
299,5,1428,70
300,3,1285,42
301,3,1376,33
302,4,1347,53
303,2,1427,30
304,6,1451,90
305,11,1394,155
306,5,1477,69
307,5,1347,71
308,9,1545,129
309,4,1455,62
310,4,1492,56
311,9,1592,131
312,8,1518,112
313,5,1635,71
314,6,1525,75
315,14,1523,209
316,11,1546,164
317,5,1502,64
318,9,1616,120
319,5,1440,64
320,6,1472,90
321,6,1586,75
322,6,1524,75
323,6,1658,78
324,2,1554,22
325,5,1562,70
326,2,1353,28
327,4,1521,56
328,4,1568,58
329,4,1340,56
330,6,1450,94
331,6,1543,89
332,5,1552,78
333,5,1564,70
334,7,1588,100
335,4,1599,59
336,11,1529,174
337,5,1670,72
338,5,1496,78
339,6,1677,92
340,9,1619,134
341,10,1544,143
342,7,1315,98
343,5,1242,74
344,4,1425,58
345,10,1402,148
346,6,1379,90
347,9,1484,128
348,6,1356,90
349,8,1380,108
350,6,1370,89
351,4,1574,56
352,4,1269,57
353,4,1416,56
354,9,1438,130
355,9,1562,134
356,10,1540,158
357,14,1493,212
358,13,1615,202
359,9,1463,134
360,9,1452,138
361,8,1484,122
362,8,1506,122
363,9,1506,138
364,4,1536,64
365,4,1630,64
366,4,1459,64
367,5,1438,80
368,5,1446,80
369,4,1459,64
370,4,1493,64
371,5,1473,70
372,4,1558,64
373,6,1586,86
374,8,1678,118
375,11,1654,153
376,9,1671,133
377,7,1667,97
378,4,1652,44
379,4,1497,64
380,6,1630,86
381,6,1601,100
382,4,1616,64
383,5,1589,70
384,4,1597,64
385,5,1605,75
386,5,1626,75
387,7,1676,97
388,7,1569,97
389,8,1531,108
390,10,1693,140
391,7,1608,107
392,4,1480,64
393,9,1668,124
394,9,1740,129
395,8,1822,108
396,7,1503,102
397,11,1626,153
398,5,1422,80
399,10,1513,135
400,7,1391,102
401,7,1551,97
402,8,1490,115
403,11,1642,160
404,12,1667,167
405,8,1511,113
406,6,1457,91
407,9,1604,124
408,8,1611,118
409,13,1611,180
410,15,1582,221
411,19,1672,276
412,7,1631,104
413,13,1591,199
414,6,1479,81
415,7,1612,92
416,6,1526,81
417,9,1414,144
418,3,1523,42
419,10,1460,149
420,10,1315,152
421,9,1349,144
422,13,1511,194
423,7,1613,92
424,9,1587,114
425,9,1510,114
426,10,1481,140
427,15,1485,216
428,17,1642,241
429,5,1550,55
430,17,1536,247
431,7,1342,110
432,8,1397,124
433,8,1366,127
434,9,1459,135
435,6,1396,90
436,14,1541,187
437,12,1580,168
438,19,1581,287
439,10,1592,148
440,14,1589,212
441,21,1555,316
442,10,1569,140
443,19,1750,262
444,16,1614,221
445,10,1508,148
446,12,1640,162
447,9,1674,134
448,13,1766,170
449,10,1446,141
450,9,1621,126
451,12,1662,156
452,17,1601,210
453,23,1512,317
454,17,1611,210
455,16,1591,246
456,19,1579,273
457,16,1723,202
458,20,1717,269
459,10,1581,150
460,18,1686,260
461,14,1714,202
462,17,1642,237
463,18,1589,253
464,17,1682,242
465,16,1623,230
466,11,1746,166
467,23,1670,345
468,9,1658,114
469,26,1796,386
470,24,1663,369
471,24,1755,372
472,27,1603,397
473,18,1521,272
474,13,1680,188
475,5,1594,72
476,15,1514,245
477,14,1547,232
478,16,1622,262
479,16,1581,257
480,13,1574,212
481,14,1606,215
482,11,1606,157
483,8,1511,124
484,12,1668,168
485,7,1431,98
486,14,1636,205
487,16,1666,227
488,14,1603,213
489,10,1641,131
490,8,1462,106
491,8,1550,106
492,13,1689,173
493,15,1615,213
494,15,1575,227
495,8,1635,116
496,17,1751,214
497,12,1679,167
498,16,1664,221
499,4,1601,56
500,11,1538,143
501,14,1640,160
502,10,1576,134
503,15,1733,225
504,16,1598,244
505,10,1566,145
506,14,1627,222
507,13,1642,182
508,11,1645,161
509,7,1787,113
510,15,1656,238
511,5,1882,80
512,7,1808,99
513,17,1792,238
514,11,1821,148
515,10,1760,128
516,13,1744,181
517,14,1764,187
518,11,1676,153
519,11,1676,151
520,13,1690,173
521,15,1744,210
522,15,1716,219
523,12,1818,178
524,19,1650,272
