0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1.166666667,0,3.818181818,8.1,5.444444444,1.666666667,4.578947368,1.428571429,1.125,0,2.416666667,5.8,0.692307692,0.444444444,1.230769231,0,0
0,1.291666667,0,3.772727273,15.9,8.666666667,3,3.263157895,2.785714286,1.5625,0,3.666666667,6.2,1.692307692,0.888888889,1.538461538,0,0
0,0.916666667,0,2.454545455,13.3,5.666666667,2.708333333,2,2,1.6875,0.642857143,5.083333333,5,2,1.055555556,1.615384615,0.125,0.45
0,0.666666667,0,2.727272727,12.3,6,2.333333333,3.052631579,1.428571429,1.75,0.428571429,2.75,7.2,1.115384615,0.722222222,0.692307692,0,0.35
0,1.708333333,0,2.681818182,15.3,6.888888889,2.583333333,3.157894737,1.857142857,1.3125,0.142857143,4.5,5.5,0.807692308,0.611111111,1.384615385,0,0.2
0,1.25,0,2.636363636,15.4,9.777777778,3.416666667,4.578947368,1.214285714,1.0625,0.071428571,2.166666667,5.7,1.346153846,0.944444444,0.769230769,0,0.1
0,0.958333333,0,2.227272727,12.2,5.777777778,2.208333333,3.842105263,2.357142857,1.625,0.357142857,3.75,6.4,1.5,0.666666667,1.461538462,0,0.3
0,1.916666667,0,1.681818182,13.1,6.888888889,2.5,4.631578947,1.214285714,1.25,0.071428571,3,4.2,1.115384615,0.5,1.076923077,0,0.15
0,2.625,0,2.954545455,14.3,6.777777778,2.333333333,3.210526316,2.142857143,2.5,0.142857143,3.25,5.7,1.038461538,0.888888889,1.230769231,0,0.1
0,1.291666667,0,4.5,14.6,9.222222222,2.291666667,3.526315789,1.285714286,1.375,0,3.25,6.8,1.346153846,1.166666667,1.615384615,0,0
0,2.583333333,0,2.590909091,17.9,7.555555556,2.75,2.526315789,1.714285714,1.5625,0.142857143,3.333333333,8,1,0.833333333,1.230769231,0,0.15
0,1.333333333,0,2.409090909,10.1,5.222222222,2.041666667,2.684210526,1.642857143,1.3125,0,2.333333333,9,1.769230769,0.722222222,1.230769231,0,0
0,1.416666667,0,2.545454545,19.3,7.666666667,3.333333333,4,0.928571429,0.5,0,2.25,4.8,1,0.833333333,0.692307692,0,0
0,3.291666667,0,2.727272727,14.1,8.333333333,2.416666667,2.842105263,1.857142857,1.4375,0.142857143,3.833333333,6,1.115384615,0.5,1.461538462,0,0.05
