episode,episode_rewards,max_obj,suc_datas
0,9,502,104
1,5,440,65
2,7,520,104
3,6,450,78
4,3,403,36
5,2,412,24
6,4,425,46
7,4,396,51
8,12,534,155
9,9,495,98
10,7,433,97
11,5,486,56
12,10,404,119
13,8,515,98
14,7,474,90
15,7,456,100
16,11,483,142
17,9,524,116
18,4,443,48
19,13,468,159
20,1,427,10
21,5,475,63
22,6,473,60
23,9,432,115
24,5,435,60
25,14,482,181
26,10,496,123
27,1,420,12
28,5,448,64
29,1,417,12
30,8,459,88
31,14,504,166
32,6,434,68
33,3,443,36
34,3,427,38
35,5,452,64
36,1,461,12
37,6,404,84
38,7,402,88
39,7,416,90
40,3,443,48
41,7,463,88
42,7,463,90
43,3,416,36
44,8,453,102
45,11,477,140
46,12,455,162
47,10,462,115
48,8,485,88
49,3,433,39
50,6,459,72
51,2,460,29
52,8,479,103
53,12,484,156
54,5,458,64
55,4,413,52
56,10,505,140
57,8,434,103
58,10,490,118
59,7,477,78
60,6,427,74
61,13,473,167
62,5,466,61
63,6,505,74
64,2,404,24
65,2,390,28
66,3,417,38
67,6,410,69
68,8,438,103
69,7,478,96
70,2,442,26
71,7,416,86
72,10,449,126
73,7,471,99
74,3,471,38
75,7,446,78
76,6,443,66
77,8,460,97
78,2,384,28
79,2,432,20
80,12,475,146
81,5,445,62
82,6,455,64
83,5,473,64
84,6,479,84
85,7,459,96
86,10,456,125
87,10,468,119
88,8,456,100
89,3,430,36
90,8,448,94
91,9,472,100
92,2,400,25
93,3,461,48
94,8,457,88
95,8,488,94
96,8,430,86
97,5,417,52
98,7,490,86
99,9,472,116
100,10,502,125
101,5,455,62
102,10,461,128
103,10,481,137
104,5,457,60
105,6,443,72
106,4,453,49
107,4,449,42
108,3,431,35
109,4,506,64
110,7,453,100
111,3,484,36
112,3,421,36
113,2,449,24
114,6,544,74
115,12,443,153
116,6,401,75
117,5,392,64
118,4,474,60
119,10,478,129
120,6,434,69
121,10,423,140
122,10,441,119
123,8,446,112
124,8,526,102
125,9,512,114
126,3,444,38
127,10,483,128
128,8,457,112
129,5,446,64
130,7,476,90
131,4,492,52
132,9,501,108
133,6,445,84
134,6,461,72
135,5,459,64
136,10,511,108
137,12,455,156
138,9,461,129
139,12,447,155
140,11,468,157
141,6,460,84
142,6,540,92
143,10,509,128
144,8,548,94
145,9,467,115
146,4,463,55
147,9,498,117
148,12,480,144
149,12,488,148
150,7,493,70
151,6,477,88
152,6,474,78
153,4,446,55
154,5,473,76
155,2,454,20
156,1,450,16
157,7,469,86
158,3,449,38
159,5,461,62
160,5,478,76
161,7,496,99
162,4,513,64
163,5,457,80
164,6,461,64
165,8,443,116
166,3,391,48
167,11,456,136
168,5,470,80
169,7,442,88
170,2,387,28
171,11,444,137
172,3,421,48
173,5,462,64
174,5,413,80
175,14,451,179
176,8,482,113
177,11,411,145
178,5,446,80
179,10,433,145
180,3,405,39
181,3,427,48
182,8,363,108
183,5,462,76
184,12,406,157
185,9,439,114
186,6,384,78
187,3,385,42
188,3,352,39
189,8,374,98
190,3,346,39
191,1,379,13
192,2,417,26
193,5,439,65
194,9,415,105
195,8,420,97
196,6,438,78
197,4,442,46
198,2,414,26
199,8,446,98
200,4,421,52
201,6,443,78
202,5,398,65
203,5,482,65
204,6,475,78
205,6,480,60
206,5,428,65
207,5,443,68
208,7,431,90
209,6,472,77
210,5,463,65
211,5,421,64
212,9,458,115
213,4,486,52
214,3,406,39
215,5,477,65
216,4,403,52
217,7,436,74
218,14,419,162
219,15,494,179
220,14,580,160
221,7,504,104
222,15,523,210
223,14,501,172
224,17,510,205
225,15,535,192
226,17,574,214
227,10,497,120
228,9,459,108
229,11,500,134
230,15,504,176
231,21,523,261
232,14,489,176
233,22,494,278
234,7,406,97
235,12,476,152
236,12,464,171
237,9,450,114
238,18,472,219
239,6,459,80
240,8,553,86
241,8,486,100
242,10,446,124
243,4,490,52
244,5,452,62
245,6,499,92
246,8,442,110
247,4,374,55
248,8,421,116
249,6,453,96
250,8,463,113
251,11,465,140
252,7,452,104
253,15,474,182
254,9,430,129
255,10,464,120
256,18,437,231
257,15,439,191
258,9,499,102
259,16,412,200
260,15,411,192
261,8,476,116
262,11,412,140
263,8,459,92
264,12,464,150
265,5,421,80
266,8,416,116
267,8,388,116
268,5,416,80
269,3,376,48
270,6,405,90
271,11,399,155
272,8,390,116
273,12,437,165
274,10,414,140
275,9,503,129
276,5,462,80
277,6,487,96
278,10,442,145
279,8,407,113
280,5,460,80
281,8,451,116
282,5,459,80
283,8,430,116
284,5,430,80
285,4,418,64
286,4,402,64
287,8,395,108
288,10,459,140
289,15,422,205
290,4,410,64
291,7,407,100
292,5,420,80
293,7,417,94
294,6,398,80
295,6,408,80
296,9,413,121
297,8,386,108
298,4,418,56
299,8,417,107
300,8,418,107
301,10,417,135
302,7,383,94
303,9,413,121
304,6,414,80
305,7,446,93
306,8,390,108
307,7,409,93
308,9,404,121
309,9,376,121
310,6,327,81
311,6,389,81
312,3,376,42
313,7,363,94
314,8,398,107
315,9,372,121
316,4,368,53
317,2,367,26
318,5,396,65
319,7,370,92
320,8,403,108
321,3,339,39
322,4,372,52
323,6,375,78
324,5,386,65
325,2,320,26
326,5,374,65
327,6,442,60
328,5,417,50
329,6,438,60
330,7,462,70
331,6,471,60
332,7,476,70
333,7,487,70
334,7,452,70
335,6,432,78
336,6,449,60
337,7,463,70
338,6,407,60
339,6,467,60
340,8,413,92
341,12,438,141
342,13,461,151
343,13,492,151
344,14,477,161
345,7,462,70
346,6,472,60
347,10,452,115
348,5,451,50
349,5,456,50
350,8,486,107
351,7,466,91
352,9,454,123
353,9,442,123
354,8,477,101
355,14,423,161
356,15,492,177
357,14,458,161
358,14,446,161
359,14,475,161
360,7,442,91
361,14,442,161
362,7,485,91
363,9,459,123
364,7,422,91
365,7,426,91
366,9,437,123
367,10,475,139
368,10,469,139
369,10,481,139
370,11,484,155
371,12,483,171
372,10,474,139
373,9,460,126
374,9,453,129
375,7,394,70
376,7,382,70
377,7,404,70
378,6,395,60
379,10,481,118
380,9,485,108
381,8,423,113
382,9,470,102
383,9,482,102
384,10,463,127
385,9,430,129
386,9,413,129
387,9,419,129
388,9,417,129
389,9,465,117
390,12,435,197
391,7,480,85
392,7,499,85
393,8,559,120
394,11,468,175
395,17,431,243
396,11,459,129
397,14,473,201
398,7,406,82
399,9,429,121
400,14,467,221
401,11,405,175
402,14,451,221
403,9,408,121
404,11,414,175
405,13,423,201
406,11,414,175
407,9,382,121
408,10,390,135
409,9,375,121
410,5,440,65
411,5,460,65
412,10,466,135
413,9,445,129
414,13,491,177
415,14,484,189
416,15,459,195
417,15,444,195
418,14,463,189
419,14,478,189
420,14,487,189
421,14,492,189
422,14,480,189
423,11,532,145
424,7,537,88
425,13,476,173
426,6,527,72
427,6,521,72
428,14,489,189
429,9,480,113
430,6,473,72
431,11,432,152
432,6,476,72
433,9,426,124
434,10,424,125
435,5,506,65
436,10,421,125
437,7,458,89
438,5,397,65
439,5,383,65
440,5,445,65
441,5,378,65
442,5,391,65
443,7,414,89
444,5,399,65
445,5,445,65
446,5,430,65
447,5,424,65
448,5,400,65
449,5,415,65
450,5,420,65
451,5,469,65
452,5,461,65
453,5,474,65
454,5,471,65
455,5,466,65
456,5,472,65
457,7,440,85
458,6,465,75
459,6,452,75
460,6,465,75
461,7,445,89
462,5,449,65
463,5,417,65
464,5,449,65
465,5,450,65
466,6,442,75
467,7,463,85
468,6,463,75
469,6,464,75
470,5,457,65
471,5,458,65
472,5,489,65
473,5,446,65
474,5,450,65
475,5,438,65
476,7,446,70
477,6,459,60
478,5,454,65
479,7,470,70
480,5,416,65
481,7,447,70
482,7,438,70
483,7,421,70
484,7,444,70
485,7,419,70
486,7,452,70
487,7,456,70
488,7,444,70
489,7,441,70
490,6,428,60
491,7,425,70
492,7,456,70
493,7,438,70
494,8,482,82
495,7,464,70
496,7,470,70
497,7,442,70
498,17,480,194
499,17,503,194
500,16,495,180
501,9,511,112
502,16,471,180
503,15,502,168
504,17,529,196
505,17,517,196
506,21,496,264
507,19,517,239
508,21,489,264
509,21,505,264
510,24,475,303
511,24,475,303
512,24,469,303
513,24,434,303
514,24,449,303
515,18,484,230
516,21,468,265
517,16,501,202
518,5,501,76
519,11,501,157
520,8,494,116
521,7,526,110
522,16,552,202
523,17,529,214
524,13,494,181
525,12,523,169
526,12,521,169
527,12,513,169
528,12,493,169
529,10,540,145
530,12,506,169
531,14,540,176
532,7,514,110
533,11,514,157
534,12,489,169
535,15,472,190
536,16,544,186
537,14,500,160
538,15,502,174
539,15,489,174
540,11,497,141
541,11,494,141
542,11,481,141
543,17,492,198
544,11,496,141
545,11,505,141
546,11,512,141
547,10,499,127
548,10,498,127
549,10,543,119
550,10,533,119
551,9,485,113
552,11,493,141
553,10,521,119
554,6,472,72
555,9,481,105
556,15,438,168
557,15,455,168
558,15,439,168
559,14,422,156
560,13,420,142
561,13,387,142
562,13,389,142
563,13,405,142
564,13,392,142
565,14,406,156
566,14,463,156
567,14,472,156
568,14,479,156
569,16,506,184
570,22,484,265
571,15,490,168
572,18,499,212
573,18,480,212
