episode,episode_rewards,max_obj,suc_datas
397,6,231,72
398,3,199,42
399,3,147,42
400,3,195,42
401,3,227,42
402,4,221,56
403,4,233,64
404,4,231,64
405,4,227,64
406,4,225,64
407,4,230,64
408,4,221,64
409,4,221,64
410,5,216,80
411,5,216,80
412,4,227,64
413,6,250,72
414,6,254,72
415,6,250,72
416,6,247,72
417,6,250,72
418,6,253,72
419,6,244,72
420,6,250,72
421,6,186,72
422,12,252,154
423,11,243,142
424,12,251,154
425,7,207,82
426,7,207,82
427,7,214,82
428,11,228,142
429,5,189,60
430,6,184,72
431,9,231,114
432,12,259,154
433,12,260,154
434,12,260,154
435,12,256,154
436,11,237,142
437,11,220,142
438,11,223,142
439,11,220,142
440,11,217,142
441,11,220,142
442,11,237,142
443,11,232,142
444,11,237,142
445,11,226,142
446,11,219,142
447,11,219,142
448,11,217,142
449,11,219,142
450,9,220,116
451,11,234,142
452,11,235,142
453,2,122,20
454,2,122,20
455,2,98,20
456,2,146,20
457,2,217,20
458,2,220,20
459,11,288,142
460,11,283,142
461,11,285,142
462,4,261,64
463,2,216,20
464,2,220,20
465,2,220,20
466,11,282,142
467,9,248,114
468,11,294,142
469,7,273,90
470,9,268,118
471,4,232,48
472,9,264,118
473,8,205,100
474,8,204,100
475,7,195,86
476,8,218,100
477,8,215,100
478,8,218,100
479,8,222,100
480,8,222,100
481,8,218,100
482,8,218,100
483,11,255,142
484,8,222,100
485,8,224,100
486,8,218,100
487,10,230,126
488,11,257,142
489,11,262,142
490,11,257,142
491,11,261,142
492,11,222,142
493,11,228,142
494,11,230,142
495,11,230,142
496,11,229,142
497,9,234,116
498,11,254,142
499,11,254,142
500,10,242,128
501,11,255,142
502,11,254,142
503,11,252,142
504,11,256,142
505,10,242,128
506,10,242,128
507,10,257,128
508,11,298,142
509,10,248,128
510,11,253,142
511,10,242,128
512,11,289,142
513,11,309,142
514,11,312,142
515,10,297,128
516,10,287,128
517,10,292,128
518,11,301,142
519,11,297,142
520,11,301,142
521,10,283,128
522,10,284,128
523,10,285,128
524,10,281,128
525,10,284,128
526,10,288,128
527,11,292,142
528,10,244,128
529,9,242,116
530,10,245,128
531,10,239,128
532,10,236,128
533,10,242,128
534,11,254,142
535,10,242,128
536,10,240,128
537,10,239,128
538,10,232,128
539,9,232,114
540,10,229,128
541,10,226,128
542,10,226,128
543,10,219,128
544,10,227,128
545,10,228,128
546,10,229,128
547,10,226,128
548,8,218,102
549,10,226,128
550,10,226,128
551,10,228,128
552,8,222,100
553,10,236,128
554,11,223,142
555,11,217,142
556,10,222,128
557,11,222,142
558,11,218,142
559,11,223,142
560,11,239,142
561,10,231,128
562,11,234,142
563,11,236,142
564,6,187,72
565,6,186,72
566,6,186,72
567,6,187,72
568,6,175,72
569,6,173,72
570,6,177,72
571,6,187,72
572,6,190,72
573,6,163,72
574,6,163,72
575,6,179,72
576,5,196,60
577,6,176,72
578,6,177,72
579,6,165,72
580,6,161,72
581,6,162,72
582,7,168,86
583,9,203,114
584,10,205,128
585,10,194,128
586,10,191,128
587,8,183,100
588,8,175,100
589,7,166,86
590,10,224,128
591,11,245,142
592,12,242,154
593,12,254,154
594,12,250,154
595,8,237,100
596,8,235,100
597,8,245,100
598,8,235,100
599,8,241,100
600,9,274,116
601,11,297,142
602,8,256,100
603,8,254,106
604,6,328,76
605,3,301,48
606,4,297,60
607,3,301,48
608,4,298,60
609,4,298,64
610,4,298,64
611,4,298,64
612,4,311,64
613,4,326,64
614,5,310,76
615,6,323,88
616,9,295,116
617,9,285,116
618,11,290,142
619,11,283,142
620,11,297,142
621,11,293,142
622,11,293,142
623,11,293,142
624,11,294,142
625,11,293,142
626,11,293,142
627,11,299,142
628,8,330,112
629,5,316,76
630,5,316,76
631,5,331,76
632,4,337,64
633,4,337,64
634,4,337,64
635,3,332,48
636,4,337,64
637,4,275,64
638,5,225,76
639,5,225,76
640,4,227,64
641,4,233,64
642,4,234,64
643,4,233,64
644,4,232,64
645,5,227,76
646,5,225,76
647,5,225,76
648,5,223,76
649,5,223,76
650,5,229,76
651,5,220,76
652,5,220,76
653,4,278,64
654,4,297,64
655,4,297,64
656,5,307,76
657,4,305,64
658,4,315,64
659,4,302,64
660,4,311,64
661,5,308,76
662,4,301,64
663,4,309,64
664,4,315,64
665,4,314,64
666,4,306,64
667,4,307,64
668,4,310,64
669,4,318,64
670,5,309,76
671,4,289,64
672,4,298,64
673,4,311,64
674,4,292,64
675,3,281,48
676,4,295,64
677,3,282,48
678,3,279,48
679,3,280,48
680,3,225,40
681,3,213,40
682,3,213,40
683,2,211,20
684,3,257,48
685,3,257,48
686,4,273,64
687,3,257,48
688,4,231,50
689,3,213,40
690,3,221,40
691,2,259,20
692,2,269,20
693,3,278,40
694,4,275,60
695,4,280,60
696,4,282,60
697,4,271,60
698,3,260,40
699,3,286,40
700,3,277,40
701,3,276,40
702,3,277,40
703,2,269,20
704,3,277,40
705,3,277,40
706,2,259,40
707,5,319,76
708,3,294,48
709,3,292,48
710,3,295,48
711,3,294,48
712,3,299,48
713,3,295,48
714,3,299,48
715,3,299,48
716,2,257,20
717,3,305,48
718,3,302,48
719,3,264,48
720,3,189,48
721,3,235,48
722,4,289,50
723,4,290,60
724,4,290,60
725,2,264,20
726,2,184,20
727,2,183,20
728,2,184,20
729,3,195,48
730,3,194,48
731,2,164,20
732,3,182,48
733,4,199,64
734,3,194,48
735,3,195,48
736,3,185,48
737,3,185,48
738,4,190,52
739,3,180,48
740,4,309,60
741,2,286,40
742,4,302,60
743,4,302,60
744,4,307,60
745,4,311,60
746,5,279,76
747,4,238,64
748,4,232,64
749,4,239,64
750,4,232,64
751,4,214,64
752,4,214,64
753,3,257,56
754,3,283,48
755,4,294,64
756,4,220,64
757,4,211,64
758,4,214,64
759,5,210,76
760,8,290,104
761,4,314,64
762,5,327,76
763,12,280,152
764,13,240,166
765,13,239,166
766,13,291,166
767,13,289,166
768,13,293,166
769,11,295,140
770,13,250,166
771,13,238,166
772,13,239,166
773,9,226,116
774,9,210,116
775,5,173,60
776,5,174,60
