episode,episode_rewards,max_obj,suc_datas
397,4,254,64
398,4,253,64
399,4,187,60
400,3,176,40
401,4,179,60
402,4,191,60
403,4,179,60
404,3,176,40
405,4,179,60
406,4,177,60
407,3,179,40
408,3,177,40
409,3,173,40
410,3,223,40
411,3,218,40
412,5,261,60
413,5,261,60
414,5,250,60
415,5,248,60
416,5,237,60
417,3,266,40
418,2,219,20
419,2,223,20
420,2,207,20
421,2,166,20
422,2,166,20
423,2,166,20
424,2,166,20
425,2,166,20
426,2,166,20
427,2,201,20
428,4,258,64
429,4,248,64
430,4,232,64
431,4,166,64
432,4,220,64
433,4,248,64
434,4,202,64
435,4,156,64
436,4,173,64
437,4,189,64
438,4,207,64
439,4,186,64
440,3,189,48
441,4,184,64
442,4,185,64
443,4,182,64
444,4,184,64
445,4,184,64
446,4,180,64
447,4,180,64
448,3,183,48
449,4,180,64
450,4,186,64
451,3,180,48
452,4,184,64
453,4,184,64
454,4,178,64
455,4,179,64
456,4,185,64
457,4,185,64
458,4,185,64
459,4,184,64
460,4,190,64
461,4,205,64
462,4,205,64
463,4,205,64
464,4,205,64
465,4,207,64
466,4,207,64
467,4,216,64
468,4,205,64
469,4,208,64
470,4,201,64
471,3,201,48
472,9,202,164
473,9,205,164
474,8,202,144
475,9,203,164
476,9,206,164
477,9,206,164
478,9,206,164
479,9,206,164
480,9,202,164
481,9,202,164
482,9,202,164
483,9,202,164
484,4,201,64
485,4,192,64
486,4,181,64
487,4,176,64
488,4,178,64
489,4,181,64
490,4,178,64
491,4,177,64
492,4,178,64
493,4,163,64
494,4,168,64
495,3,169,48
496,4,171,64
497,4,170,64
498,4,171,64
499,8,196,104
500,4,180,64
501,3,178,48
502,4,174,64
503,4,174,64
504,4,174,64
505,4,174,64
506,4,174,64
507,4,172,64
508,4,174,64
509,4,174,64
510,4,174,64
511,4,198,64
512,4,227,64
513,4,271,64
514,9,295,134
515,4,258,64
516,4,267,64
517,4,268,64
518,4,278,64
519,4,272,64
520,4,271,64
521,4,270,64
522,9,286,134
523,9,293,134
524,9,282,134
525,9,291,134
526,9,302,134
527,8,292,120
528,9,277,134
529,8,271,120
530,9,284,134
531,9,285,134
532,14,277,234
533,14,268,234
534,9,301,134
535,9,301,134
536,9,301,134
537,4,310,64
538,9,336,134
539,6,295,80
540,6,264,80
541,6,264,80
542,6,264,80
543,4,234,56
544,6,232,80
545,6,238,80
546,6,239,80
547,6,238,80
548,6,240,80
549,6,238,80
550,6,238,80
551,5,239,70
552,6,236,80
553,7,277,102
554,9,303,134
555,9,299,134
556,8,289,120
557,9,302,134
558,9,300,134
559,9,310,134
560,9,292,134
561,8,298,120
562,9,275,134
563,6,246,80
564,4,267,56
565,9,294,134
566,9,294,134
567,9,294,134
568,9,295,134
569,9,295,134
570,6,255,80
571,6,243,80
572,6,244,80
573,6,264,80
574,9,295,134
575,9,297,134
576,9,275,134
577,9,276,134
578,9,291,134
579,9,286,134
580,9,292,134
581,9,287,134
582,8,293,118
583,8,302,120
584,9,304,134
585,9,304,134
586,9,298,134
587,9,301,134
588,9,304,134
589,8,312,120
590,9,301,134
591,9,300,134
592,9,301,134
593,9,301,134
594,5,224,70
595,7,279,102
596,9,301,134
597,6,245,80
598,7,276,102
599,9,295,134
600,5,230,70
601,9,244,130
602,10,246,146
603,8,253,120
604,10,246,146
605,10,246,146
606,9,248,130
607,10,254,146
608,10,258,146
609,10,257,146
610,10,249,146
611,10,249,146
612,10,252,146
613,10,253,146
614,5,195,70
615,4,187,56
616,5,225,70
617,8,260,120
618,5,207,70
619,10,269,146
620,8,259,118
621,10,271,146
622,9,264,134
623,10,267,146
624,9,259,130
625,5,227,70
626,10,266,146
627,10,264,146
628,10,267,146
629,5,217,70
630,5,209,70
631,5,211,70
632,5,240,70
633,10,294,146
634,9,297,134
635,8,278,118
636,9,297,134
637,9,298,134
638,9,298,134
639,9,298,134
640,6,244,80
641,6,223,80
642,7,220,94
643,6,237,80
644,6,286,80
645,6,291,80
646,6,278,80
647,6,282,80
648,6,291,80
649,6,277,80
650,6,305,80
651,9,374,134
652,9,338,134
653,9,338,134
654,9,338,134
655,9,374,134
656,10,361,146
657,9,355,134
658,9,350,134
659,5,264,70
660,6,252,80
661,7,258,94
662,6,273,80
663,9,331,134
664,9,338,134
665,9,339,134
666,9,366,134
667,9,368,134
668,9,368,134
669,6,270,80
670,7,259,94
671,7,304,102
672,6,286,80
673,6,247,80
674,6,258,80
675,9,351,134
676,9,357,134
677,9,359,134
678,9,354,134
679,9,354,134
680,10,357,146
681,9,359,134
682,9,359,134
683,10,358,146
684,9,360,134
685,9,359,134
686,9,353,134
687,10,359,144
688,8,363,120
689,9,359,134
690,8,351,118
691,9,358,134
692,9,359,134
693,11,353,158
694,8,360,120
695,9,356,134
696,9,358,134
697,9,326,134
698,9,327,134
699,4,295,52
700,4,290,64
701,2,254,20
702,4,250,44
703,2,268,20
704,4,290,64
705,4,295,64
706,4,291,64
707,4,297,64
708,4,295,64
709,2,155,20
710,2,155,20
711,2,167,20
712,4,236,64
713,4,236,64
714,4,236,64
715,4,230,64
716,4,229,64
717,4,229,64
718,4,229,64
719,4,229,64
720,4,225,64
721,4,220,64
722,4,218,64
723,4,221,64
724,6,224,88
725,4,229,64
726,4,229,64
727,4,229,64
728,4,229,64
729,4,228,64
730,4,229,64
731,8,331,144
732,8,331,144
733,7,326,128
734,8,327,144
735,8,331,144
736,8,331,144
737,4,310,64
738,3,301,40
739,4,284,80
740,4,286,80
741,4,277,80
742,5,303,60
743,3,307,40
744,4,309,64
745,4,311,64
746,3,307,40
747,2,293,20
748,4,241,48
749,16,235,192
750,16,258,202
751,14,246,178
752,4,313,64
753,4,314,64
754,4,293,44
755,2,289,20
756,2,291,20
757,2,311,20
758,4,305,64
759,9,354,134
760,8,359,120
761,9,348,134
762,10,372,146
763,4,277,56
