0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-898,-634,-1092,-812,-219,-379,-235,-564,-310,-526,194,-294,-288,-769,-750,-424,-1107,-242
-1049,-624,-1100,-875,39,-186,-208,-441,-213,-683,129,-305,34,-524,-793,-485,-1049,-280
-933,-789,-994,-749,-198,-333,-295,-690,-346,-624,16,-192,-260,-615,-813,-492,-891,-144
-1094,-784,-1084,-926,-81,-330,-206,-761,-518,-831,234,-190,-402,-836,-868,-512,-1195,-131
-761,-476,-1077,-690,-108,-10,104,-640,-227,-551,145,-389,85,-500,-882,-693,-984,-597
-866,-637,-1204,-914,340,-294,-72,-496,-361,-570,263,-43,-242,-426,-724,-605,-1094,-249
-746,-354,-849,-696,-173,-159,-228,-270,-537,-465,73,-261,-220,-742,-652,-290,-1007,-241
-849,-637,-1098,-599,35,-240,-315,-587,-384,-570,-214,-182,-272,-527,-780,-367,-1049,-111
-956,-420,-918,-788,96,-236,-216,-346,-259,-320,0,-214,-307,-527,-841,-131,-1044,-40
-896,-527,-1095,-604,31,-176,-361,-454,-388,-556,-51,-155,-179,-512,-815,-521,-1017,-103
-974,-956,-1033,-809,-192,-264,-249,-667,-483,-618,-143,-407,-245,-519,-868,-619,-1106,-286
-847,-652,-939,-702,107,-356,-354,-604,-266,-551,59,-11,-305,-695,-790,-502,-965,-142
-779,-687,-825,-456,245,-278,-108,-372,-151,-375,-46,-347,-392,-494,-822,-338,-946,-124
-1013,-608,-1006,-629,-197,-461,-300,-407,-477,-759,-4,-170,-219,-717,-767,-290,-975,-109
-940,-702,-1012,-751,-179,-398,-184,-611,-418,-608,213,-265,-447,-347,-690,-342,-1116,-201
-901,-687,-980,-689,78,-246,-92,-400,-251,-515,287,-269,-116,-640,-752,-378,-1112,-138
-868,-491,-1015,-657,-214,-163,-165,-402,-433,-419,80,-99,-310,-623,-694,-192,-762,-151
-901,-323,-1064,-810,-216,-133,-351,-513,-429,-424,116,-332,-172,-744,-894,-617,-1217,-498
-930,-547,-991,-768,-2,-180,-216,-409,-234,-476,-112,-134,-326,-758,-805,-440,-976,11
-1009,-847,-1030,-644,35,-231,-169,-491,-194,-380,235,-317,-261,-515,-905,-409,-1130,-162
-826,-405,-933,-476,-68,-193,-113,-442,-537,-433,-69,-458,-403,-529,-657,-505,-916,-93
-792,-743,-956,-334,-28,-126,52,-439,-406,-539,80,-340,-339,-452,-748,-565,-955,-357
-969,-555,-914,-975,407,-215,-19,-527,-517,-766,272,-392,-306,-551,-964,-816,-1063,-181
-909,-556,-983,-665,-43,-324,-174,-503,-511,-589,75,1,-301,-630,-718,-370,-886,-174
-1045,-487,-1095,-855,231,-391,-245,-637,-674,-829,98,-141,-267,-744,-760,-511,-1018,-70
-854,-663,-1002,-591,49,-139,-75,-389,-202,-469,35,-219,-277,-501,-956,-326,-974,-113
-847,-887,-840,-669,80,-448,-164,-619,-237,-315,369,75,-338,-472,-803,-224,-1153,43
-1017,-631,-1138,-855,-32,-148,-161,-432,-320,-552,-37,-372,-363,-555,-797,-528,-1224,-285
-1056,-807,-1144,-1041,-802,-322,-163,-574,-648,-794,243,-213,-292,-805,-991,-402,-1065,-294
-977,-821,-1129,-774,-81,-397,-132,-607,-427,-633,211,-320,-110,-455,-962,-477,-964,-249
-883,-528,-1042,-552,28,-119,36,-273,-154,-391,294,-319,-177,-589,-831,-534,-1115,-304
-819,-718,-853,-537,97,-287,-89,-371,-349,-416,-49,-323,-101,-697,-805,-265,-953,-304
-949,-552,-1156,-977,189,-242,-136,-571,-410,-484,-117,-134,-289,-513,-706,-497,-956,-217
-1028,-661,-1254,-782,-204,-160,-91,-526,-556,-687,348,-294,-30,-885,-878,-425,-1154,-361
-843,-509,-804,-619,88,-299,-270,-283,-135,-413,76,-299,-351,-764,-798,-412,-891,40
-812,-539,-840,-619,72,-225,-173,-312,-473,-378,-21,-91,-262,-444,-687,-234,-1058,-251
-946,-594,-1094,-772,-136,-314,-368,-692,-483,-719,327,-172,-136,-882,-856,-279,-927,11
-798,-739,-868,-657,-199,-201,-112,-529,-250,-325,51,-166,-177,-380,-759,-467,-1070,-83
-859,-789,-1050,-963,-96,-149,-230,-571,-688,-689,81,-493,-445,-568,-881,-405,-943,-303
-879,-633,-1070,-657,-312,-344,-231,-611,-545,-525,-87,-435,-128,-665,-758,-532,-1015,-417
-876,-478,-1131,-510,172,-167,44,-366,-366,-400,400,-228,-213,-684,-661,-537,-979,-268
-934,-950,-962,-630,-222,-422,-174,-370,-483,-487,-261,-626,-124,-330,-847,-519,-1082,-245
-1048,-586,-1211,-1075,-240,43,-210,-615,-728,-835,-43,65,-173,-720,-963,-343,-1267,-90
-855,-575,-786,-837,98,-239,-17,-174,-398,-581,241,-409,-312,-683,-833,-313,-989,-116
-973,-588,-995,-967,-154,-302,-42,-551,-480,-795,318,-366,-525,-895,-959,-421,-1360,-430
-918,-741,-1160,-910,-174,-298,-177,-703,-408,-711,46,-253,-184,-751,-1059,-414,-1166,-221
-857,-731,-791,-761,-13,-73,112,-425,-310,-573,45,-437,-242,-524,-662,-602,-1153,-361
-896,-658,-1035,-664,-202,-141,-114,-693,-215,-480,185,-274,-358,-575,-675,-451,-1091,-199
-874,-504,-991,-789,-299,-358,-132,-459,-370,-453,-57,-263,-341,-675,-806,-535,-1032,-325
-746,-771,-969,-629,315,-217,-114,-410,-194,-551,19,-251,-293,-573,-606,-346,-1096,-113
-845,-716,-897,-624,-266,-224,-170,-408,-244,-234,46,-267,-347,-418,-664,-603,-862,17
-898,-650,-863,-780,51,-217,-91,-760,-309,-460,468,-88,-343,-450,-668,-419,-1090,-148
-943,-744,-844,-811,36,-247,128,-674,-725,-601,148,-383,-478,-583,-718,-106,-792,-132
-827,-469,-821,-485,85,-182,-34,-327,-349,-327,209,-312,-152,-729,-681,-440,-809,-142
-715,-719,-836,-669,78,-281,-88,-479,-570,-451,187,-180,-329,-630,-734,-304,-890,-278
-832,-770,-823,-672,-306,-148,-224,-241,-152,-528,34,-389,-282,-557,-765,-159,-894,-406
-775,-752,-976,-751,116,-15,-27,-442,-189,-433,203,-248,-364,-329,-772,-625,-927,-180
-989,-669,-1105,-983,-41,-288,-197,-735,-619,-861,159,-324,-333,-775,-894,-322,-1112,-166
-903,-505,-1078,-669,-127,-286,-200,-452,-277,-512,-5,-543,-337,-790,-905,-470,-1013,-146
-926,-554,-1007,-637,-16,-286,-94,-402,-312,-618,-149,-469,-327,-684,-645,-701,-1110,-384
-782,-423,-1069,-718,264,-192,-168,-482,-305,-400,17,-265,-239,-640,-781,-498,-946,-242
-990,-770,-1083,-756,17,-392,-60,-546,-373,-638,129,-453,-410,-460,-728,-736,-1044,-204
-884,-640,-919,-604,365,-259,-72,-480,-129,-455,101,-328,-349,-647,-900,-289,-973,-60
-963,-694,-1118,-766,-265,-413,-387,-619,-313,-621,151,-268,-713,-985,-846,-515,-1290,-200
-943,-752,-1051,-880,-232,-481,-28,-596,-328,-611,495,-179,-249,-969,-757,-524,-1045,-403
-930,-545,-992,-853,-201,-187,-193,-460,-580,-748,342,-290,-423,-741,-976,-250,-1072,-139
-906,-458,-1144,-1033,-288,-206,-146,-532,-316,-575,230,-107,-537,-976,-774,-538,-1171,-59
-1040,-828,-1127,-914,57,-133,23,-837,-682,-593,370,-298,-198,-783,-869,-442,-1181,-380
-913,-435,-909,-671,162,-60,-101,-423,-541,-392,402,-130,-316,-735,-805,-322,-939,-93
-971,-750,-1046,-687,-72,-215,34,-557,-315,-520,433,-300,-336,-907,-1110,-190,-1072,-32
-1004,-639,-1049,-710,-56,-236,-6,-526,-566,-613,340,-351,-583,-1016,-847,-500,-1153,-170
-763,-470,-1146,-757,-257,-245,-82,-478,-217,-477,306,-280,-193,-908,-770,-513,-1088,-287
-864,-504,-809,-744,16,-399,-260,-500,-478,-579,80,-215,-354,-703,-743,-703,-1087,-106
-949,-529,-999,-496,-164,-150,-80,-378,-234,-418,431,-453,-16,-610,-931,-419,-1229,-347
-932,-456,-1206,-926,26,-313,-328,-482,-127,-614,42,-265,-582,-785,-761,-704,-1161,-214
-858,-696,-963,-505,-105,-209,-231,-633,-353,-560,513,-304,-331,-708,-726,-357,-1024,-79
-842,-738,-939,-531,-175,-241,-329,-627,-190,-315,263,-92,1,-800,-832,-541,-1089,-320
-879,-681,-911,-427,-139,-249,-271,-392,-347,-199,151,-211,-333,-666,-837,-609,-1066,-301
-1039,-1012,-1100,-564,-341,-380,-148,-709,-369,-391,341,-159,-317,-945,-898,-934,-1161,-161
-1026,-552,-1192,-822,-169,-127,-118,-537,-383,-622,279,-530,-285,-789,-1042,-728,-1152,-498
-1072,-689,-1132,-823,264,-415,-211,-446,-378,-482,135,-306,-357,-807,-812,-731,-1119,-63
-1034,-697,-1048,-619,-114,-495,-244,-520,-255,-425,270,-373,-454,-851,-1058,-892,-1216,-295
-1058,-440,-1022,-946,91,-233,-207,-496,-306,-663,112,-204,-560,-772,-980,-548,-1092,33
-893,-496,-1039,-727,197,-279,-132,-505,-174,-387,328,-179,-234,-504,-860,-236,-962,-75
